Month,Sector,Percent
Feb to Mar 20,Motor vehicle & parts dealers,-25.7
Mar to Apr 20,Motor vehicle & parts dealers,-12.3
Apr to May 20,Motor vehicle & parts dealers,48.7
May to Jun 20,Motor vehicle & parts dealers,9.1
Jun to Jul 20,Motor vehicle & parts dealers,-1.2
Jul to Aug 20,Motor vehicle & parts dealers,0.2
Aug to Sep 20,Motor vehicle & parts dealers,3.6
Sep to Oct 20,Motor vehicle & parts dealers,0.4
Nov to Dec 20,Motor vehicle & parts dealers,2.0
Dec 20 to Jan 21,Motor vehicle & parts dealers,3.1
Jan to Feb 21,Motor vehicle & parts dealers,-4.2
Feb to Mar 20,Furniture & home furniture stores,-21.1
Mar to Apr 20,Furniture & home furniture stores,-48.8
Apr to May 20,Furniture & home furniture stores,79.1
May to Jun 20,Furniture & home furniture stores,37.4
Jun to Jul 20,Furniture & home furniture stores,0.0
Jul to Aug 20,Furniture & home furniture stores,2.1
Aug to Sep 20,Furniture & home furniture stores,0.5
Sep to Oct 20,Furniture & home furniture stores,-0.4
Nov to Dec 20,Furniture & home furniture stores,-0.7
Dec 20 to Jan 21,Furniture & home furniture stores,12.0
Jan to Feb 21,Furniture & home furniture stores,-3.8
Feb to Mar 20,Electronics & appliance stores,-11.0
Mar to Apr 20,Electronics & appliance stores,-43.2
Apr to May 20,Electronics & appliance stores,36.5
May to Jun 20,Electronics & appliance stores,37.6
Jun to Jul 20,Electronics & appliance stores,22.9
Jul to Aug 20,Electronics & appliance stores,0.8
Aug to Sep 20,Electronics & appliance stores,-1.6
Sep to Oct 20,Electronics & appliance stores,1.2
Nov to Dec 20,Electronics & appliance stores,-6.5
Dec 20 to Jan 21,Electronics & appliance stores,14.7
Jan to Feb 21,Electronics & appliance stores,-1.9
Feb to Mar 20,Building material & garden equipment & supplies dealers,-0.5
Mar to Apr 20,Building material & garden equipment & supplies dealers,-2.4
Apr to May 20,Building material & garden equipment & supplies dealers,12.2
May to Jun 20,Building material & garden equipment & supplies dealers,0.8
Jun to Jul 20,Building material & garden equipment & supplies dealers,-2.9
Jul to Aug 20,Building material & garden equipment & supplies dealers,2.0
Aug to Sep 20,Building material & garden equipment & supplies dealers,0.6
Sep to Oct 20,Building material & garden equipment & supplies dealers,0.9
Nov to Dec 20,Building material & garden equipment & supplies dealers,-0.1
Dec 20 to Jan 21,Building material & garden equipment & supplies dealers,4.6
Jan to Feb 21,Building material & garden equipment & supplies dealers,-3.0
Feb to Mar 20,Food & beverage stores,26.9
Mar to Apr 20,Food & beverage stores,-12.8
Apr to May 20,Food & beverage stores,2.2
May to Jun 20,Food & beverage stores,-1.5
Jun to Jul 20,Food & beverage stores,0.2
Jul to Aug 20,Food & beverage stores,-1.2
Aug to Sep 20,Food & beverage stores,0.0
Sep to Oct 20,Food & beverage stores,-0.2
Nov to Dec 20,Food & beverage stores,-1.4
Dec 20 to Jan 21,Food & beverage stores,2.4
Jan to Feb 21,Food & beverage stores,0.0
Feb to Mar 20,Health & personal care stores,5.0
Mar to Apr 20,Health & personal care stores,-14.8
Apr to May 20,Health & personal care stores,1.5
May to Jun 20,Health & personal care stores,6.9
Jun to Jul 20,Health & personal care stores,3.6
Jul to Aug 20,Health & personal care stores,0.8
Aug to Sep 20,Health & personal care stores,1.7
Sep to Oct 20,Health & personal care stores,-0.1
Nov to Dec 20,Health & personal care stores,1.0
Dec 20 to Jan 21,Health & personal care stores,1.3
Jan to Feb 21,Health & personal care stores,-1.3
Feb to Mar 20,Gasoline stations,-16.5
Mar to Apr 20,Gasoline stations,-24.4
Apr to May 20,Gasoline stations,11.9
May to Jun 20,Gasoline stations,14.8
Jun to Jul 20,Gasoline stations,6.2
Jul to Aug 20,Gasoline stations,0.4
Aug to Sep 20,Gasoline stations,1.5
Sep to Oct 20,Gasoline stations,0.4
Nov to Dec 20,Gasoline stations,6.5
Dec 20 to Jan 21,Gasoline stations,4.0
Jan to Feb 21,Gasoline stations,3.6
Feb to Mar 20,Clothing & clothing accessories stores,-49.4
Mar to Apr 20,Clothing & clothing accessories stores,-75.2
Apr to May 20,Clothing & clothing accessories stores,176.7
May to Jun 20,Clothing & clothing accessories stores,98.8
Jun to Jul 20,Clothing & clothing accessories stores,5.7
Jul to Aug 20,Clothing & clothing accessories stores,2.9
Aug to Sep 20,Clothing & clothing accessories stores,11.0
Sep to Oct 20,Clothing & clothing accessories stores,-4.2
Nov to Dec 20,Clothing & clothing accessories stores,2.6
Dec 20 to Jan 21,Clothing & clothing accessories stores,5.0
Jan to Feb 21,Clothing & clothing accessories stores,-2.8
Feb to Mar 20,"Sporting goods, hobby, musical instrument, & book stores",-17.8
Mar to Apr 20,"Sporting goods, hobby, musical instrument, & book stores",-33.7
Apr to May 20,"Sporting goods, hobby, musical instrument, & book stores",78.0
May to Jun 20,"Sporting goods, hobby, musical instrument, & book stores",27.6
Jun to Jul 20,"Sporting goods, hobby, musical instrument, & book stores",-5.0
Jul to Aug 20,"Sporting goods, hobby, musical instrument, & book stores",-5.7
Aug to Sep 20,"Sporting goods, hobby, musical instrument, & book stores",5.7
Sep to Oct 20,"Sporting goods, hobby, musical instrument, & book stores",-4.2
Nov to Dec 20,"Sporting goods, hobby, musical instrument, & book stores",-1.4
Dec 20 to Jan 21,"Sporting goods, hobby, musical instrument, & book stores",8.0
Jan to Feb 21,"Sporting goods, hobby, musical instrument, & book stores",-7.5
Feb to Mar 20,General merchandise stores,7.1
Mar to Apr 20,General merchandise stores,-13.6
Apr to May 20,General merchandise stores,5.9
May to Jun 20,General merchandise stores,2.1
Jun to Jul 20,General merchandise stores,-0.2
